,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Current Ratio,2.024912390270983,1.7258939752330598,1.53195552061103,1.3752854605430094,
Total Asset Turnover,0.8002785287130335,0.9076609953291189,0.9893609269110253,0.8662825320693374,
Gross Profit Margin,0.17862626676220697,0.18248891736331416,0.25598438535759005,0.25279155751258753,
Net Profit Margin,0.07298597604667827,0.15499157822946483,0.15446465836831896,0.10263270349107259,
Return on Total Assets,0.05840910952732039,0.14067981016338704,0.15282129757827492,0.08890891825336789,
Return on Equity,0.09778777447094482,0.23947057508701344,0.28147369362920543,0.18298055583159428,
Financial Leverage Multiplier,1.6741870448342546,1.7022384008685378,1.8418486041517537,2.0580675080327273,
