,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Current Ratio,0.6256349292121474,0.6916934408056667,0.7545594068286461,0.7787955894826124,
Total Asset Turnover,0.35036170008135975,0.35232672811665855,0.360395596291614,0.3644693340898428,
Gross Profit Margin,0.5986512152417129,0.5903160314687924,0.5678517923046005,0.5786263312701608,
Net Profit Margin,0.12987803068522422,0.0866884619403765,0.1553403734424672,0.1651411165081242,
Return on Total Assets,0.045504287634094163,0.030542662160918332,0.05598398651495996,0.06018887276456917,
Return on Equity,0.17640597760915788,0.1256518446391864,0.23321337663477573,0.2697762562660472,
Financial Leverage Multiplier,3.876689138123885,4.113978145623715,4.165715790397613,4.482161633451522,
