,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Current Ratio,1.8369313974102914,2.096584936563424,2.377994227994228,2.928113424845146,
Total Asset Turnover,0.7773755374720159,0.7639167776695361,0.7743330851110429,0.7171164701559838,
Gross Profit Margin,0.5820043540617911,0.566250479840205,0.5537944250378312,0.5693980290098084,
Net Profit Margin,0.28603671811164,0.24006649446638517,0.2120380715326196,0.2951167728237792,
Return on Total Assets,0.22235794747876764,0.18339082287918249,0.16418809409084936,0.21163309841121392,
Return on Equity,0.30797578472025694,0.26041096905557576,0.2341339246673746,0.30215590041131,
Financial Leverage Multiplier,1.3850450960367167,1.4199781917502707,1.4260103691673434,1.4277346156138853,
