,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Current Ratio,0.8673125765340832,0.9880116717592975,0.8793560286267226,1.0745531195957954,
Total Asset Turnover,1.0713874732862074,1.087077369016657,1.1178523337727317,1.042207736708053,
Gross Profit Margin,0.4620634981523393,0.4413112957720756,0.43309630561360085,0.4177935962516778,
Net Profit Margin,0.23971255769943867,0.2530623426432028,0.2530964070519973,0.2588179335569424,
Return on Total Assets,0.25682503150857583,0.27509834563776475,0.2829244092925685,0.26974205275183616,
Return on Equity,1.6459350307287095,1.5607601454639075,1.9695887275023682,1.5007132667617689,
Financial Leverage Multiplier,6.408779631255487,5.673462491552152,6.961536943479634,5.563512442542399,
