,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Current Ratio,1.2749549031815206,1.76916725076573,1.7846069708251824,2.0799936835218875
Total Asset Turnover,0.47860153896318164,0.5143867603938094,0.5434437013485364,0.5035906992351227
Gross Profit Margin,0.6976444382797138,0.6892008588349102,0.684016744842891,0.689258007710247
Net Profit Margin,0.35955972944084985,0.3414623787839464,0.3668633681343622,0.36451739564989766
Return on Total Assets,0.17208583985957596,0.175643726819038,0.19936958666812848,0.18356757015869782
Return on Equity,0.32828137978299815,0.35088714643856406,0.4367546925099975,0.4315223821731414
Financial Leverage Multiplier,1.9076606189729475,1.9977209137681053,2.1906786276134547,2.3507549933797223
